Year,Age at time of death,Sex,Causes of death,Value
2015,50 to 54 years,Males,Diseases of heart,70.5
2015,50 to 54 years,Males,Influenza and pneumonia,3.2
2015,50 to 54 years,Males,Acute bronchitis and bronchiolitis,0.0
2015,50 to 54 years,Males,Chronic lower respiratory diseases,5.8
2015,50 to 54 years,Females,Malignant neoplasms,120.6
2015,50 to 54 years,Females,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",1.1
2015,50 to 54 years,Females,Diabetes mellitus,4.9
2015,50 to 54 years,Females,Diseases of heart,22.5
2015,50 to 54 years,Females,Influenza and pneumonia,3.6
2015,50 to 54 years,Females,Acute bronchitis and bronchiolitis,0.0
2015,50 to 54 years,Females,Chronic lower respiratory diseases,5.1
2015,55 to 64 years,Both sexes,Malignant neoplasms,273.4
2015,55 to 64 years,Both sexes,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",2.6
2015,55 to 64 years,Both sexes,Diabetes mellitus,16.9
2015,55 to 64 years,Both sexes,Diseases of heart,101.1
2015,55 to 64 years,Both sexes,Influenza and pneumonia,7.0
2015,55 to 64 years,Both sexes,Acute bronchitis and bronchiolitis,0.0
2015,55 to 64 years,Both sexes,Chronic lower respiratory diseases,19.8
2015,55 to 64 years,Males,Malignant neoplasms,287.7
2015,55 to 64 years,Males,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",3.0
2015,55 to 64 years,Males,Diabetes mellitus,22.3
2015,55 to 64 years,Males,Diseases of heart,150.1
2015,55 to 64 years,Males,Influenza and pneumonia,7.6
2015,55 to 64 years,Males,Acute bronchitis and bronchiolitis,0.1
2015,55 to 64 years,Males,Chronic lower respiratory diseases,22.3
2015,55 to 64 years,Females,Malignant neoplasms,259.4
2015,55 to 64 years,Females,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",2.2
2015,55 to 64 years,Females,Diabetes mellitus,11.6
2015,55 to 64 years,Females,Diseases of heart,52.7
2015,55 to 64 years,Females,Influenza and pneumonia,6.4
2015,55 to 64 years,Females,Acute bronchitis and bronchiolitis,0.0
2015,55 to 64 years,Females,Chronic lower respiratory diseases,17.3
2015,55 to 59 years,Both sexes,Malignant neoplasms,209.4
2015,55 to 59 years,Both sexes,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",1.9
2015,55 to 59 years,Both sexes,Diabetes mellitus,12.6
2015,55 to 59 years,Both sexes,Diseases of heart,77.4
2015,55 to 59 years,Both sexes,Influenza and pneumonia,5.6
2015,55 to 59 years,Both sexes,Acute bronchitis and bronchiolitis,0.1
2015,55 to 59 years,Both sexes,Chronic lower respiratory diseases,12.7
2015,55 to 59 years,Males,Malignant neoplasms,209.8
2015,55 to 59 years,Males,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",2.3
2015,55 to 59 years,Males,Diabetes mellitus,16.5
2015,55 to 59 years,Males,Diseases of heart,118.8
2015,55 to 59 years,Males,Influenza and pneumonia,6.5
2015,55 to 59 years,Males,Acute bronchitis and bronchiolitis,0.2
2015,55 to 59 years,Males,Chronic lower respiratory diseases,13.7
2015,55 to 59 years,Females,Malignant neoplasms,209.0
2015,55 to 59 years,Females,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",1.5
2015,55 to 59 years,Females,Diabetes mellitus,8.7
2015,55 to 59 years,Females,Diseases of heart,36.1
2015,55 to 59 years,Females,Influenza and pneumonia,4.8
2015,55 to 59 years,Females,Acute bronchitis and bronchiolitis,0.0
2015,55 to 59 years,Females,Chronic lower respiratory diseases,11.7
2015,60 to 64 years,Both sexes,Malignant neoplasms,348.1
2015,60 to 64 years,Both sexes,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",3.4
2015,60 to 64 years,Both sexes,Diabetes mellitus,21.9
2015,60 to 64 years,Both sexes,Diseases of heart,128.7
2015,60 to 64 years,Both sexes,Influenza and pneumonia,8.6
2015,60 to 64 years,Both sexes,Acute bronchitis and bronchiolitis,0.0
2015,60 to 64 years,Both sexes,Chronic lower respiratory diseases,28.0
2015,60 to 64 years,Males,Malignant neoplasms,379.4
2015,60 to 64 years,Males,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",3.8
