Year,Series,Units,Geography,Value
1991/01,Population Growth Rate,Percentage (%),"Ottawa - Gatineau (Ontario part), Ontario",0.013
1991/01,Population Growth Rate,Percentage (%),"Ottawa - Gatineau (Quebec part), Quebec",0.013
1991/01,Population Growth Rate,Percentage (%),"Peterborough, Ontario",0.004
1991/01,Population Growth Rate,Percentage (%),"Quebec, Quebec",0.004
1991/01,Population Growth Rate,Percentage (%),"Regina, Saskatchewan",0.001
1991/01,Population Growth Rate,Percentage (%),"Saguenay, Quebec",-0.003
1991/01,Population Growth Rate,Percentage (%),"Saint John, New Brunswick",-0.003
1991/01,Population Growth Rate,Percentage (%),"Saskatoon, Saskatchewan",0.007
1991/01,Population Growth Rate,Percentage (%),"Sherbrooke, Quebec",0.008
1991/01,Population Growth Rate,Percentage (%),"St. Catharines - Niagara, Ontario",0.003
1991/01,Population Growth Rate,Percentage (%),"St. John's, Newfoundland and Labrador",0.001
1991/01,Population Growth Rate,Percentage (%),"Thunder Bay, Ontario",-0.003
1991/01,Population Growth Rate,Percentage (%),"Toronto, Ontario",0.018
1991/01,Population Growth Rate,Percentage (%),"Trois-Rivières, Quebec",-0.001
1991/01,Population Growth Rate,Percentage (%),"Vancouver, British Columbia",0.022
1991/01,Population Growth Rate,Percentage (%),"Victoria, British Columbia",0.005
1991/01,Population Growth Rate,Percentage (%),"Windsor, Ontario",0.013
1991/01,Population Growth Rate,Percentage (%),"Winnipeg, Manitoba",0.002
2001/11,Population Growth Rate,Percentage (%),,0.014
2001/11,Population Growth Rate,Percentage (%),"Abbotsford - Mission, British Columbia",0.015
2001/11,Population Growth Rate,Percentage (%),"Barrie, Ontario",0.023
2001/11,Population Growth Rate,Percentage (%),"Brantford, Ontario",0.014
2001/11,Population Growth Rate,Percentage (%),"Calgary, Alberta",0.024
2001/11,Population Growth Rate,Percentage (%),"Edmonton, Alberta",0.021
2001/11,Population Growth Rate,Percentage (%),"Greater Sudbury, Ontario",0.003
2001/11,Population Growth Rate,Percentage (%),"Guelph, Ontario",0.014
2001/11,Population Growth Rate,Percentage (%),"Halifax, Nova Scotia",0.012
