Year,Geography,Industry,GeoCode,Value
2015,New Brunswick,Fabric mills,13,
2015,New Brunswick,Textile and fabric finishing and fabric coating,13,
2015,New Brunswick,Textile product mills,13,0.06
2015,New Brunswick,Textile furnishings mills,13,
2015,New Brunswick,Other textile product mills,13,
2015,New Brunswick,Apparel manufacturing,13,
2015,New Brunswick,Apparel knitting mills,13,
2015,New Brunswick,Cut and sew clothing manufacturing,13,
2015,New Brunswick,Clothing accessories and other clothing manufacturing,13,
2015,New Brunswick,Leather and allied product manufacturing,13,
2015,New Brunswick,Leather and hide tanning and finishing,13,
2015,New Brunswick,Footwear manufacturing,13,
2015,New Brunswick,Other leather and allied product manufacturing,13,
2015,New Brunswick,Paper manufacturing,13,0.85
2015,New Brunswick,"Pulp, paper and paperboard mills",13,0.7
2015,New Brunswick,Converted paper product manufacturing,13,0.15
2015,New Brunswick,Printing and related support activities,13,0.08
