Year,Series,Géographie,Composantes du secteur public,GeoCode,Value
2020,Official development assistance on conservation and sustainable use of biodiversity,Québec,Administrations publiques provinciales-territoriales et locales consolidées,24,164000000.0
2020,Official development assistance on conservation and sustainable use of biodiversity,Ontario,Administrations publiques provinciales-territoriales et locales consolidées,35,801000000.0
2020,Official development assistance on conservation and sustainable use of biodiversity,Manitoba,Administrations publiques provinciales-territoriales et locales consolidées,46,66000000.0
2020,Official development assistance on conservation and sustainable use of biodiversity,Saskatchewan,Administrations publiques provinciales-territoriales et locales consolidées,47,22000000.0
2020,Official development assistance on conservation and sustainable use of biodiversity,Alberta,Administrations publiques provinciales-territoriales et locales consolidées,48,31000000.0
2020,Official development assistance on conservation and sustainable use of biodiversity,Colombie-Britannique,Administrations publiques provinciales-territoriales et locales consolidées,59,58000000.0
2020,Official development assistance on conservation and sustainable use of biodiversity,Yukon,Administrations publiques provinciales-territoriales et locales consolidées,60,32000000.0
2020,Official development assistance on conservation and sustainable use of biodiversity,Territoires du Nord-Ouest,Administrations publiques provinciales-territoriales et locales consolidées,61,16000000.0
2020,Official development assistance on conservation and sustainable use of biodiversity,Nunavut,Administrations publiques provinciales-territoriales et locales consolidées,62,6000000.0
2021,Official development assistance on conservation and sustainable use of biodiversity,Canada,Administrations publiques provinciales-territoriales et locales consolidées,,1330000000.0
2021,Official development assistance on conservation and sustainable use of biodiversity,Terre-Neuve-et-Labrador,Administrations publiques provinciales-territoriales et locales consolidées,10,7000000.0
2021,Official development assistance on conservation and sustainable use of biodiversity,Île-du-Prince-Édouard,Administrations publiques provinciales-territoriales et locales consolidées,11,2000000.0
2021,Official development assistance on conservation and sustainable use of biodiversity,Nouvelle-Écosse,Administrations publiques provinciales-territoriales et locales consolidées,12,35000000.0
2021,Official development assistance on conservation and sustainable use of biodiversity,Nouveau-Brunswick,Administrations publiques provinciales-territoriales et locales consolidées,13,13000000.0
2021,Official development assistance on conservation and sustainable use of biodiversity,Québec,Administrations publiques provinciales-territoriales et locales consolidées,24,166000000.0
2021,Official development assistance on conservation and sustainable use of biodiversity,Ontario,Administrations publiques provinciales-territoriales et locales consolidées,35,877000000.0
2021,Official development assistance on conservation and sustainable use of biodiversity,Manitoba,Administrations publiques provinciales-territoriales et locales consolidées,46,45000000.0
2021,Official development assistance on conservation and sustainable use of biodiversity,Saskatchewan,Administrations publiques provinciales-territoriales et locales consolidées,47,23000000.0
2021,Official development assistance on conservation and sustainable use of biodiversity,Alberta,Administrations publiques provinciales-territoriales et locales consolidées,48,37000000.0
2021,Official development assistance on conservation and sustainable use of biodiversity,Colombie-Britannique,Administrations publiques provinciales-territoriales et locales consolidées,59,65000000.0
2021,Official development assistance on conservation and sustainable use of biodiversity,Yukon,Administrations publiques provinciales-territoriales et locales consolidées,60,32000000.0
2021,Official development assistance on conservation and sustainable use of biodiversity,Territoires du Nord-Ouest,Administrations publiques provinciales-territoriales et locales consolidées,61,17000000.0
2021,Official development assistance on conservation and sustainable use of biodiversity,Nunavut,Administrations publiques provinciales-territoriales et locales consolidées,62,7000000.0
2012,Revenue generated and finance mobilized from biodiversity-relevant economic instruments,,,,22.237
2013,Revenue generated and finance mobilized from biodiversity-relevant economic instruments,,,,0.853
2014,Revenue generated and finance mobilized from biodiversity-relevant economic instruments,,,,0.814
2015,Revenue generated and finance mobilized from biodiversity-relevant economic instruments,,,,0.48
2016,Revenue generated and finance mobilized from biodiversity-relevant economic instruments,,,,1.544
2017,Revenue generated and finance mobilized from biodiversity-relevant economic instruments,,,,0.026
2018,Revenue generated and finance mobilized from biodiversity-relevant economic instruments,,,,0.548
2019,Revenue generated and finance mobilized from biodiversity-relevant economic instruments,,,,1.651
2020,Revenue generated and finance mobilized from biodiversity-relevant economic instruments,,,,3.389
2021,Revenue generated and finance mobilized from biodiversity-relevant economic instruments,,,,4.985
