Year,Geography,Type of work,Occupation,Sex,Age group,GeoCode,Value
2015,Canada,Full-time employees,Management occupations,Males,15 to 24 years,,20.07
2015,Canada,Full-time employees,Management occupations,Males,25 to 54 years,,45.67
2015,Canada,Full-time employees,Management occupations,Males,55 years and over,,49.11
2015,Canada,Full-time employees,Management occupations,Females,15 years and over,,39.48
2015,Canada,Full-time employees,Management occupations,Females,15 to 24 years,,18.33
2015,Canada,Full-time employees,Management occupations,Females,25 to 54 years,,39.5
2015,Canada,Full-time employees,Management occupations,Females,55 years and over,,42.97
2015,Canada,Full-time employees,"Business, finance and administration occupations, except management",Both sexes,15 years and over,,27.01
2015,Canada,Full-time employees,"Business, finance and administration occupations, except management",Both sexes,15 to 24 years,,17.67
2015,Canada,Full-time employees,"Business, finance and administration occupations, except management",Both sexes,25 to 54 years,,27.55
2015,Canada,Full-time employees,"Business, finance and administration occupations, except management",Both sexes,55 years and over,,28.08
2015,Canada,Full-time employees,"Business, finance and administration occupations, except management",Males,15 years and over,,30.25
2015,Canada,Full-time employees,"Business, finance and administration occupations, except management",Males,15 to 24 years,,17.83
2015,Canada,Full-time employees,"Business, finance and administration occupations, except management",Males,25 to 54 years,,30.84
2015,Canada,Full-time employees,"Business, finance and administration occupations, except management",Males,55 years and over,,32.37
2015,Canada,Full-time employees,"Business, finance and administration occupations, except management",Females,15 years and over,,25.68
2015,Canada,Full-time employees,"Business, finance and administration occupations, except management",Females,15 to 24 years,,17.6
2015,Canada,Full-time employees,"Business, finance and administration occupations, except management",Females,25 to 54 years,,26.18
2015,Canada,Full-time employees,"Business, finance and administration occupations, except management",Females,55 years and over,,26.46
2015,Canada,Full-time employees,"Natural and applied sciences and related occupations, except management",Both sexes,15 years and over,,35.28
2015,Canada,Full-time employees,"Natural and applied sciences and related occupations, except management",Both sexes,15 to 24 years,,21.82
2015,Canada,Full-time employees,"Natural and applied sciences and related occupations, except management",Both sexes,25 to 54 years,,35.77
2015,Canada,Full-time employees,"Natural and applied sciences and related occupations, except management",Both sexes,55 years and over,,39.79
2015,Canada,Full-time employees,"Natural and applied sciences and related occupations, except management",Males,15 years and over,,36.32
2015,Canada,Full-time employees,"Natural and applied sciences and related occupations, except management",Males,15 to 24 years,,22.38
2015,Canada,Full-time employees,"Natural and applied sciences and related occupations, except management",Males,25 to 54 years,,36.73
2015,Canada,Full-time employees,"Natural and applied sciences and related occupations, except management",Males,55 years and over,,40.76
2015,Canada,Full-time employees,"Natural and applied sciences and related occupations, except management",Females,15 years and over,,32.03
2015,Canada,Full-time employees,"Natural and applied sciences and related occupations, except management",Females,15 to 24 years,,20.51
2015,Canada,Full-time employees,"Natural and applied sciences and related occupations, except management",Females,25 to 54 years,,32.82
2015,Canada,Full-time employees,"Natural and applied sciences and related occupations, except management",Females,55 years and over,,35.8
2015,Canada,Full-time employees,"Health occupations, except management",Both sexes,15 years and over,,29.88
2015,Canada,Full-time employees,"Health occupations, except management",Both sexes,15 to 24 years,,22.23
2015,Canada,Full-time employees,"Health occupations, except management",Both sexes,25 to 54 years,,30.36
2015,Canada,Full-time employees,"Health occupations, except management",Both sexes,55 years and over,,31.02
2015,Canada,Full-time employees,"Health occupations, except management",Males,15 years and over,,31.89
2015,Canada,Full-time employees,"Health occupations, except management",Males,15 to 24 years,,24.41
2015,Canada,Full-time employees,"Health occupations, except management",Males,25 to 54 years,,32.55
2015,Canada,Full-time employees,"Health occupations, except management",Males,55 years and over,,31.31
2015,Canada,Full-time employees,"Health occupations, except management",Females,15 years and over,,29.44
2015,Canada,Full-time employees,"Health occupations, except management",Females,15 to 24 years,,21.83
2015,Canada,Full-time employees,"Health occupations, except management",Females,25 to 54 years,,29.85
2015,Canada,Full-time employees,"Health occupations, except management",Females,55 years and over,,30.98
2015,Canada,Full-time employees,"Occupations in education, law and social, community and government services, except management",Both sexes,15 years and over,,32.7
2015,Canada,Full-time employees,"Occupations in education, law and social, community and government services, except management",Both sexes,15 to 24 years,,18.01
2015,Canada,Full-time employees,"Occupations in education, law and social, community and government services, except management",Both sexes,25 to 54 years,,33.12
2015,Canada,Full-time employees,"Occupations in education, law and social, community and government services, except management",Both sexes,55 years and over,,35.3
2015,Canada,Full-time employees,"Occupations in education, law and social, community and government services, except management",Males,15 years and over,,37.26
2015,Canada,Full-time employees,"Occupations in education, law and social, community and government services, except management",Males,15 to 24 years,,19.57
2015,Canada,Full-time employees,"Occupations in education, law and social, community and government services, except management",Males,25 to 54 years,,37.04
2015,Canada,Full-time employees,"Occupations in education, law and social, community and government services, except management",Males,55 years and over,,41.61
2015,Canada,Full-time employees,"Occupations in education, law and social, community and government services, except management",Females,15 years and over,,30.36
2015,Canada,Full-time employees,"Occupations in education, law and social, community and government services, except management",Females,15 to 24 years,,17.55
2015,Canada,Full-time employees,"Occupations in education, law and social, community and government services, except management",Females,25 to 54 years,,31.14
2015,Canada,Full-time employees,"Occupations in education, law and social, community and government services, except management",Females,55 years and over,,31.14
2015,Canada,Full-time employees,"Occupations in art, culture, recreation and sport, except management",Both sexes,15 years and over,,25.54
2015,Canada,Full-time employees,"Occupations in art, culture, recreation and sport, except management",Both sexes,15 to 24 years,,15.59
2015,Canada,Full-time employees,"Occupations in art, culture, recreation and sport, except management",Both sexes,25 to 54 years,,27.03
2015,Canada,Full-time employees,"Occupations in art, culture, recreation and sport, except management",Both sexes,55 years and over,,32.87
2015,Canada,Full-time employees,"Occupations in art, culture, recreation and sport, except management",Males,15 years and over,,26.46
2015,Canada,Full-time employees,"Occupations in art, culture, recreation and sport, except management",Males,15 to 24 years,,16.72
2015,Canada,Full-time employees,"Occupations in art, culture, recreation and sport, except management",Males,25 to 54 years,,27.28
2015,Canada,Full-time employees,"Occupations in art, culture, recreation and sport, except management",Males,55 years and over,,33.71
2015,Canada,Full-time employees,"Occupations in art, culture, recreation and sport, except management",Females,15 years and over,,24.6
