Year,Series,Units,Géographie,Value
2001/11,Taux de croissance démographique,Taux de croissance,"Regina, Saskatchewan",0.009
2001/11,Taux de croissance démographique,Taux de croissance,"Saguenay, Québec",-0.001
2001/11,Taux de croissance démographique,Taux de croissance,"Saint John, Nouveau-Brunswick",0.005
2001/11,Taux de croissance démographique,Taux de croissance,"Saskatoon, Saskatchewan",0.014
2001/11,Taux de croissance démographique,Taux de croissance,"Sherbrooke, Québec",0.012
2001/11,Taux de croissance démographique,Taux de croissance,"St. Catharines - Niagara, Ontario",0.005
2001/11,Taux de croissance démographique,Taux de croissance,"St. John's, Terre-Neuve-et-Labrador",0.013
2001/11,Taux de croissance démographique,Taux de croissance,"Thunder Bay, Ontario",0.001
2001/11,Taux de croissance démographique,Taux de croissance,"Toronto, Ontario",0.018
2001/11,Taux de croissance démographique,Taux de croissance,"Trois-Rivières, Québec",0.011
2001/11,Taux de croissance démographique,Taux de croissance,"Vancouver, Colombie-Britannique",0.016
2001/11,Taux de croissance démographique,Taux de croissance,"Victoria, Colombie-Britannique",0.015
2001/11,Taux de croissance démographique,Taux de croissance,"Windsor, Ontario",0.006
2001/11,Taux de croissance démographique,Taux de croissance,"Winnipeg, Manitoba",0.008
1971/91,Rapport entre le taux de consommation des terres et le taux de croissance démographique,Ratio,,40488.42
1971/91,Rapport entre le taux de consommation des terres et le taux de croissance démographique,Ratio,"Abbotsford - Mission, Colombie-Britannique",100.58
1971/91,Rapport entre le taux de consommation des terres et le taux de croissance démographique,Ratio,"Barrie, Ontario",148.13
1971/91,Rapport entre le taux de consommation des terres et le taux de croissance démographique,Ratio,"Brantford, Ontario",810.76
1971/91,Rapport entre le taux de consommation des terres et le taux de croissance démographique,Ratio,"Calgary, Alberta",967.81
1971/91,Rapport entre le taux de consommation des terres et le taux de croissance démographique,Ratio,"Edmonton, Alberta",1934.16
1971/91,Rapport entre le taux de consommation des terres et le taux de croissance démographique,Ratio,"Grand Sudbury, Ontario",-4417.81
1971/91,Rapport entre le taux de consommation des terres et le taux de croissance démographique,Ratio,"Guelph, Ontario",210.18
1971/91,Rapport entre le taux de consommation des terres et le taux de croissance démographique,Ratio,"Halifax, Nouvelle-Écosse",1444.9
1971/91,Rapport entre le taux de consommation des terres et le taux de croissance démographique,Ratio,"Hamilton, Ontario",1860.95
1971/91,Rapport entre le taux de consommation des terres et le taux de croissance démographique,Ratio,"Kelowna, Colombie-Britannique",173.77
1971/91,Rapport entre le taux de consommation des terres et le taux de croissance démographique,Ratio,"Kingston, Ontario",708.51
1971/91,Rapport entre le taux de consommation des terres et le taux de croissance démographique,Ratio,"Kitchener - Cambridge - Waterloo, Ontario",539.6
1971/91,Rapport entre le taux de consommation des terres et le taux de croissance démographique,Ratio,"London, Ontario",1244.41
1971/91,Rapport entre le taux de consommation des terres et le taux de croissance démographique,Ratio,"Moncton, Nouveau-Brunswick",581.37
1971/91,Rapport entre le taux de consommation des terres et le taux de croissance démographique,Ratio,"Montreal, Quebec",9799.83
1971/91,Rapport entre le taux de consommation des terres et le taux de croissance démographique,Ratio,"Oshawa, Ontario",353.6
1971/91,Rapport entre le taux de consommation des terres et le taux de croissance démographique,Ratio,"Ottawa - Gatineau (partie de l'Ontario), Ontario",1522.61
1971/91,Rapport entre le taux de consommation des terres et le taux de croissance démographique,Ratio,"Ottawa - Gatineau (partie du Québec), Québec",658.36
1971/91,Rapport entre le taux de consommation des terres et le taux de croissance démographique,Ratio,"Peterborough, Ontario",529.92
