Year,Series,Géographie,GeoCode,Value
2017,Wastewater discharged from municipal sewage systems,Colombie-Britannique,59,97.14
2017,Wastewater discharged from municipal sewage systems,,,99.04
2017,Wastewater discharged from municipal sewage systems,Churchill drainage region,,100.0
2017,Wastewater discharged from municipal sewage systems,Columbia drainage region,,100.0
2017,Wastewater discharged from municipal sewage systems,Fraser-Lower Mainland drainage region,,100.0
2017,Wastewater discharged from municipal sewage systems,Great Lakes drainage region,,99.99
2017,Wastewater discharged from municipal sewage systems,Lower Mackenzie drainage region,,100.0
2017,Wastewater discharged from municipal sewage systems,Lower Saskatchewan-Nelson drainage region,,100.0
2017,Wastewater discharged from municipal sewage systems,Manitoba,46,99.97
2017,Wastewater discharged from municipal sewage systems,Maritime Coastal drainage region,,95.6
2017,Wastewater discharged from municipal sewage systems,Nouveau-Brunswick,13,100.0
2017,Wastewater discharged from municipal sewage systems,Newfoundland-Labrador drainage region,,81.39
2017,Wastewater discharged from municipal sewage systems,Terre-Neuve-et-Labrador,10,81.44
2017,Wastewater discharged from municipal sewage systems,North Saskatchewan drainage region,,100.0
2017,Wastewater discharged from municipal sewage systems,North Shore-Gaspé drainage region,,97.21
2017,Wastewater discharged from municipal sewage systems,Northern Ontario drainage region,,99.34
2017,Wastewater discharged from municipal sewage systems,Northern Quebec drainage region,,98.99
2017,Wastewater discharged from municipal sewage systems,Nouvelle-Écosse,12,93.77
2017,Wastewater discharged from municipal sewage systems,Okanagan-Similkameen drainage region,,100.0
2017,Wastewater discharged from municipal sewage systems,Ontario,35,100.0
2017,Wastewater discharged from municipal sewage systems,Ottawa drainage region,,99.84
2017,Wastewater discharged from municipal sewage systems,Pacific Coastal drainage region,,85.92
2017,Wastewater discharged from municipal sewage systems,Peace-Athabasca drainage region,,100.0
2017,Wastewater discharged from municipal sewage systems,Île-du-Prince-Édouard,11,100.0
2017,Wastewater discharged from municipal sewage systems,Québec,24,99.67
2017,Wastewater discharged from municipal sewage systems,Saint John-St. Croix drainage region,,100.0
2017,Wastewater discharged from municipal sewage systems,Saskatchewan,47,99.94
2017,Wastewater discharged from municipal sewage systems,South Saskatchewan drainage region,,99.98
2017,Wastewater discharged from municipal sewage systems,St. Lawrence drainage region,,99.9
2017,Wastewater discharged from municipal sewage systems,Total drainage regions,,99.04
2017,Wastewater discharged from municipal sewage systems,Winnipeg drainage region,,100.0
2017,Wastewater discharged from municipal sewage systems,Yukon,60,100.0
2017,Wastewater discharged from municipal sewage systems,Yukon drainage region,,100.0
2018,Wastewater discharged from municipal sewage systems,Alberta,48,100.0
2018,Wastewater discharged from municipal sewage systems,Assiniboine-Red drainage region,,99.93
2018,Wastewater discharged from municipal sewage systems,Colombie-Britannique,59,97.26
2018,Wastewater discharged from municipal sewage systems,,,99.05
2018,Wastewater discharged from municipal sewage systems,Churchill drainage region,,100.0
2018,Wastewater discharged from municipal sewage systems,Columbia drainage region,,100.0
2018,Wastewater discharged from municipal sewage systems,Fraser-Lower Mainland drainage region,,100.0
2018,Wastewater discharged from municipal sewage systems,Great Lakes drainage region,,100.0
2018,Wastewater discharged from municipal sewage systems,Lower Mackenzie drainage region,,100.0
2018,Wastewater discharged from municipal sewage systems,Lower Saskatchewan-Nelson drainage region,,100.0
2018,Wastewater discharged from municipal sewage systems,Manitoba,46,99.92
2018,Wastewater discharged from municipal sewage systems,Maritime Coastal drainage region,,96.22
2018,Wastewater discharged from municipal sewage systems,Nouveau-Brunswick,13,100.0
2018,Wastewater discharged from municipal sewage systems,Newfoundland-Labrador drainage region,,80.62
2018,Wastewater discharged from municipal sewage systems,Terre-Neuve-et-Labrador,10,80.67
2018,Wastewater discharged from municipal sewage systems,North Saskatchewan drainage region,,100.0
2018,Wastewater discharged from municipal sewage systems,North Shore-Gaspé drainage region,,97.2
2018,Wastewater discharged from municipal sewage systems,Northern Ontario drainage region,,99.37
2018,Wastewater discharged from municipal sewage systems,Northern Quebec drainage region,,99.11
2018,Wastewater discharged from municipal sewage systems,Nouvelle-Écosse,12,94.8
2018,Wastewater discharged from municipal sewage systems,Okanagan-Similkameen drainage region,,100.0
2018,Wastewater discharged from municipal sewage systems,Ontario,35,100.0
2018,Wastewater discharged from municipal sewage systems,Ottawa drainage region,,99.84
2018,Wastewater discharged from municipal sewage systems,Pacific Coastal drainage region,,85.94
2018,Wastewater discharged from municipal sewage systems,Peace-Athabasca drainage region,,100.0
2018,Wastewater discharged from municipal sewage systems,Île-du-Prince-Édouard,11,100.0
2018,Wastewater discharged from municipal sewage systems,Québec,24,99.69
2018,Wastewater discharged from municipal sewage systems,Saint John-St. Croix drainage region,,100.0
2018,Wastewater discharged from municipal sewage systems,Saskatchewan,47,99.94
2018,Wastewater discharged from municipal sewage systems,South Saskatchewan drainage region,,100.0
2018,Wastewater discharged from municipal sewage systems,St. Lawrence drainage region,,99.91
2018,Wastewater discharged from municipal sewage systems,Total drainage regions,,99.05
2018,Wastewater discharged from municipal sewage systems,Winnipeg drainage region,,100.0
2018,Wastewater discharged from municipal sewage systems,Yukon,60,100.0
2018,Wastewater discharged from municipal sewage systems,Yukon drainage region,,100.0
2019,Wastewater discharged from municipal sewage systems,Alberta,48,99.99
2019,Wastewater discharged from municipal sewage systems,Assiniboine-Red drainage region,,99.94
2019,Wastewater discharged from municipal sewage systems,Colombie-Britannique,59,97.23
2019,Wastewater discharged from municipal sewage systems,,,99.1
2019,Wastewater discharged from municipal sewage systems,Churchill drainage region,,100.0
2019,Wastewater discharged from municipal sewage systems,Columbia drainage region,,100.0
2019,Wastewater discharged from municipal sewage systems,Fraser-Lower Mainland drainage region,,100.0
2019,Wastewater discharged from municipal sewage systems,Great Lakes drainage region,,100.0
2019,Wastewater discharged from municipal sewage systems,Lower Mackenzie drainage region,,100.0
2019,Wastewater discharged from municipal sewage systems,Lower Saskatchewan-Nelson drainage region,,100.0
2019,Wastewater discharged from municipal sewage systems,Manitoba,46,99.93
2019,Wastewater discharged from municipal sewage systems,Maritime Coastal drainage region,,96.24
2019,Wastewater discharged from municipal sewage systems,Nouveau-Brunswick,13,100.0
2019,Wastewater discharged from municipal sewage systems,Newfoundland-Labrador drainage region,,80.14
2019,Wastewater discharged from municipal sewage systems,Terre-Neuve-et-Labrador,10,80.19
2019,Wastewater discharged from municipal sewage systems,North Saskatchewan drainage region,,100.0
2019,Wastewater discharged from municipal sewage systems,North Shore-Gaspé drainage region,,97.06
2019,Wastewater discharged from municipal sewage systems,Northern Ontario drainage region,,99.21
2019,Wastewater discharged from municipal sewage systems,Northern Quebec drainage region,,99.16
2019,Wastewater discharged from municipal sewage systems,Nouvelle-Écosse,12,94.73
2019,Wastewater discharged from municipal sewage systems,Okanagan-Similkameen drainage region,,100.0
