Year,Géographie,Niveau de gouvernement,Type de patrimoine,Value
2017,Saskatchewan,Administrations publiques provinciales-territoriales et locales consolidées,Préservation de la diversité biologique et protection de la nature,2e-05
2017,Saskatchewan,Administrations publiques provinciales-territoriales et locales consolidées,Services culturels,0.0001
2017,Saskatchewan,Administrations publiques provinciales-territoriales et locales consolidées,"Services de radiodiffusion, de television et d'édition
",0.0
2017,Saskatchewan,Administrations publiques provinciales-territoriales et locales consolidées,"Loisirs, culture et religion non classés ailleurs",6e-05
2017,Alberta,Administrations publiques provinciales-territoriales et locales consolidées,Préservation de la diversité biologique et protection de la nature,7e-05
2017,Alberta,Administrations publiques provinciales-territoriales et locales consolidées,Services culturels,0.00012
2017,Alberta,Administrations publiques provinciales-territoriales et locales consolidées,"Services de radiodiffusion, de television et d'édition
",1e-05
2017,Alberta,Administrations publiques provinciales-territoriales et locales consolidées,"Loisirs, culture et religion non classés ailleurs",7e-05
2017,Colombie-Britannique,Administrations publiques provinciales-territoriales et locales consolidées,Préservation de la diversité biologique et protection de la nature,1e-05
2017,Colombie-Britannique,Administrations publiques provinciales-territoriales et locales consolidées,Services culturels,7e-05
2017,Colombie-Britannique,Administrations publiques provinciales-territoriales et locales consolidées,"Services de radiodiffusion, de television et d'édition
",0.00014
2017,Colombie-Britannique,Administrations publiques provinciales-territoriales et locales consolidées,"Loisirs, culture et religion non classés ailleurs",9e-05
2017,Yukon,Administrations publiques provinciales-territoriales et locales consolidées,Préservation de la diversité biologique et protection de la nature,0.00086
2017,Yukon,Administrations publiques provinciales-territoriales et locales consolidées,Services culturels,0.00038
2017,Yukon,Administrations publiques provinciales-territoriales et locales consolidées,"Services de radiodiffusion, de television et d'édition
",0.0
2017,Yukon,Administrations publiques provinciales-territoriales et locales consolidées,"Loisirs, culture et religion non classés ailleurs",5e-05
2017,Territoires du Nord-Ouest,Administrations publiques provinciales-territoriales et locales consolidées,Préservation de la diversité biologique et protection de la nature,0.00029
2017,Territoires du Nord-Ouest,Administrations publiques provinciales-territoriales et locales consolidées,Services culturels,0.0002
2017,Territoires du Nord-Ouest,Administrations publiques provinciales-territoriales et locales consolidées,"Services de radiodiffusion, de television et d'édition
",4e-05
