Year,Géographie,Industrie,GeoCode,Value
2015,Île-du-Prince-Édouard,Fabrication d'aliments pour animaux,11,
2015,Île-du-Prince-Édouard,Mouture de grains céréaliers et de graines oléagineuses,11,
2015,Île-du-Prince-Édouard,Fabrication de sucre et de confiseries,11,
2015,Île-du-Prince-Édouard,Mise en conserve de fruits et de légumes et fabrication de spécialités alimentaires,11,0.57
2015,Île-du-Prince-Édouard,Fabrication de produits laitiers,11,
2015,Île-du-Prince-Édouard,Fabrication de produits de viande,11,
2015,Île-du-Prince-Édouard,Préparation et conditionnement de poissons et de fruits de mer,11,
2015,Île-du-Prince-Édouard,Boulangeries et fabrication de tortillas,11,
2015,Île-du-Prince-Édouard,Fabrication d'autres aliments,11,
2015,Île-du-Prince-Édouard,Fabrication de boissons et de produits du tabac,11,
2015,Île-du-Prince-Édouard,Fabrication de boissons,11,
2015,Île-du-Prince-Édouard,Fabrication du tabac,11,
2015,Île-du-Prince-Édouard,Fabrication de produits du cannabis,11,
2015,Île-du-Prince-Édouard,Usines de textiles,11,
2015,Île-du-Prince-Édouard,"Usines de fibres, de filés et de fils",11,
2015,Île-du-Prince-Édouard,Usines de tissus,11,
2015,Île-du-Prince-Édouard,Finissage de textiles et de tissus et revêtement de tissus,11,
2015,Île-du-Prince-Édouard,Usines de produits textiles,11,
2015,Île-du-Prince-Édouard,Usines de textiles domestiques,11,
2015,Île-du-Prince-Édouard,Usines d'autres produits textiles,11,
2015,Île-du-Prince-Édouard,Apparel manufacturing,11,
2015,Île-du-Prince-Édouard,Apparel knitting mills,11,
2015,Île-du-Prince-Édouard,Fabrication de vêtements coupés-cousus,11,
2015,Île-du-Prince-Édouard,Fabrication d'accessoires vestimentaires et d'autres vêtements,11,
2015,Île-du-Prince-Édouard,Fabrication de produits en cuir et de produits analogues,11,
2015,Île-du-Prince-Édouard,Tannage et finissage du cuir et des peaux,11,
2015,Île-du-Prince-Édouard,Fabrication de chaussures,11,
2015,Île-du-Prince-Édouard,Fabrication d'autres produits en cuir et produits analogues,11,
2015,Île-du-Prince-Édouard,Fabrication du papier,11,
2015,Île-du-Prince-Édouard,"Usines de pâte à papier, de papier et de carton",11,
2015,Île-du-Prince-Édouard,Fabrication de produits en papier transformé,11,
2015,Île-du-Prince-Édouard,Impression et activités connexes de soutien,11,
2015,Île-du-Prince-Édouard,Fabrication de produits du pétrole et du charbon,11,
2015,Île-du-Prince-Édouard,Fabrication de produits chimiques,11,
2015,Île-du-Prince-Édouard,Fabrication de produits chimiques de base,11,
2015,Île-du-Prince-Édouard,"Fabrication de résines, de caoutchouc synthétique et de fibres et de filaments artificiels et synthétiques",11,
2015,Île-du-Prince-Édouard,"Fabrication de pesticides, d'engrais et d'autres produits chimiques agricoles",11,
