Year,Géographie,Sources des déchets à des fins d'élimination,GeoCode,Value
2012,Île-du-Prince-Édouard,Sources de déchets non résidentielles à des fins d'élimination,,
2012,Île-du-Prince-Édouard,Sources de déchets résidentielles à des fins d'élimination,,
2012,Nouvelle-Écosse,Toutes les sources de déchets à des fins d'élimination,12,365079.0
2012,Nouvelle-Écosse,Sources de déchets non résidentielles à des fins d'élimination,,145601.0
2012,Nouvelle-Écosse,Sources de déchets résidentielles à des fins d'élimination,,219478.0
2012,Nouveau-Brunswick,Toutes les sources de déchets à des fins d'élimination,13,492938.0
2012,Nouveau-Brunswick,Sources de déchets non résidentielles à des fins d'élimination,,215755.0
2012,Nouveau-Brunswick,Sources de déchets résidentielles à des fins d'élimination,,277183.0
2012,Québec,Toutes les sources de déchets à des fins d'élimination,24,5584621.0
2012,Québec,Sources de déchets non résidentielles à des fins d'élimination,,2803335.0
2012,Québec,Sources de déchets résidentielles à des fins d'élimination,,2781286.0
2012,Ontario,Toutes les sources de déchets à des fins d'élimination,35,9208839.0
2012,Ontario,Sources de déchets non résidentielles à des fins d'élimination,,3388501.0
2012,Ontario,Sources de déchets résidentielles à des fins d'élimination,,5820338.0
2012,Manitoba,Toutes les sources de déchets à des fins d'élimination,46,1017663.0
2012,Manitoba,Sources de déchets non résidentielles à des fins d'élimination,,444227.0
2012,Manitoba,Sources de déchets résidentielles à des fins d'élimination,,573436.0
2012,Saskatchewan,Toutes les sources de déchets à des fins d'élimination,47,957670.0
2012,Saskatchewan,Sources de déchets non résidentielles à des fins d'élimination,,315987.0
2012,Saskatchewan,Sources de déchets résidentielles à des fins d'élimination,,641682.0
2012,Alberta,Toutes les sources de déchets à des fins d'élimination,48,3913924.0
2012,Alberta,Sources de déchets non résidentielles à des fins d'élimination,,1176226.0
2012,Alberta,Sources de déchets résidentielles à des fins d'élimination,,2737698.0
2012,Colombie-Britannique,Toutes les sources de déchets à des fins d'élimination,59,2604147.0
2012,Colombie-Britannique,Sources de déchets non résidentielles à des fins d'élimination,,947542.0
2012,Colombie-Britannique,Sources de déchets résidentielles à des fins d'élimination,,1656605.0
2012,"Yukon, Territoires du Nord-Ouest et Nunavut",Toutes les sources de déchets à des fins d'élimination,,
2012,"Yukon, Territoires du Nord-Ouest et Nunavut",Sources de déchets non résidentielles à des fins d'élimination,,
2012,"Yukon, Territoires du Nord-Ouest et Nunavut",Sources de déchets résidentielles à des fins d'élimination,,
2014,Canada,Sources de déchets non résidentielles à des fins d'élimination,,9803644.0
2014,Canada,Sources de déchets résidentielles à des fins d'élimination,,14963007.0
2014,Terre-Neuve-et-Labrador,Toutes les sources de déchets à des fins d'élimination,10,415158.0
2014,Terre-Neuve-et-Labrador,Sources de déchets non résidentielles à des fins d'élimination,,
2014,Terre-Neuve-et-Labrador,Sources de déchets résidentielles à des fins d'élimination,,
2014,Île-du-Prince-Édouard,Toutes les sources de déchets à des fins d'élimination,11,
2014,Île-du-Prince-Édouard,Sources de déchets non résidentielles à des fins d'élimination,,
2014,Île-du-Prince-Édouard,Sources de déchets résidentielles à des fins d'élimination,,
2014,Nouvelle-Écosse,Toutes les sources de déchets à des fins d'élimination,12,364193.0
2014,Nouvelle-Écosse,Sources de déchets non résidentielles à des fins d'élimination,,160805.0
2014,Nouvelle-Écosse,Sources de déchets résidentielles à des fins d'élimination,,203388.0
2014,Nouveau-Brunswick,Toutes les sources de déchets à des fins d'élimination,13,508115.0
2014,Nouveau-Brunswick,Sources de déchets non résidentielles à des fins d'élimination,,234534.0
2014,Nouveau-Brunswick,Sources de déchets résidentielles à des fins d'élimination,,273581.0
2014,Québec,Toutes les sources de déchets à des fins d'élimination,24,5414539.0
2014,Québec,Sources de déchets non résidentielles à des fins d'élimination,,2831404.0
2014,Québec,Sources de déchets résidentielles à des fins d'élimination,,2583135.0
2014,Ontario,Toutes les sources de déchets à des fins d'élimination,35,9165299.0
2014,Ontario,Sources de déchets non résidentielles à des fins d'élimination,,3490792.0
2014,Ontario,Sources de déchets résidentielles à des fins d'élimination,,5674507.0
2014,Manitoba,Toutes les sources de déchets à des fins d'élimination,46,990230.0
2014,Manitoba,Sources de déchets non résidentielles à des fins d'élimination,,333008.0
2014,Manitoba,Sources de déchets résidentielles à des fins d'élimination,,657222.0
2014,Saskatchewan,Toutes les sources de déchets à des fins d'élimination,47,940595.0
2014,Saskatchewan,Sources de déchets non résidentielles à des fins d'élimination,,331430.0
2014,Saskatchewan,Sources de déchets résidentielles à des fins d'élimination,,609166.0
2014,Alberta,Toutes les sources de déchets à des fins d'élimination,48,4097584.0
2014,Alberta,Sources de déchets non résidentielles à des fins d'élimination,,1230635.0
2014,Alberta,Sources de déchets résidentielles à des fins d'élimination,,2866949.0
2014,Colombie-Britannique,Toutes les sources de déchets à des fins d'élimination,59,2721309.0
2014,Colombie-Britannique,Sources de déchets non résidentielles à des fins d'élimination,,941345.0
2014,Colombie-Britannique,Sources de déchets résidentielles à des fins d'élimination,,1779963.0
